patch_number,lab_l,lab_a,lab_b,weight,white
A1,76.87,-13.96,53.88,1,D65
A2,29.44,5.32,8.45,1,
A3,25.01,0.27,0.09,1,
A4,22.46,0.06,-0.51,0,
B1,51.11,40.69,19.09,1,
B2,44.3,12.03,19.37,1,
B3,30.16,-0.09,-0.71,1,
B4,19.91,-0.27,-0.48,0,
C1,54.55,46.69,-30.17,1,
C2,62.54,9.4,17.26,1,
C3,45.49,0.21,-0.11,1,
C4,5.47,0.56,-0.34,0,
D1,42.15,22.2,-46.42,1,
D2,56.2,11.49,20.51,1,
D3,55.63,-0.3,0.09,1,
D4,89.7,-0.31,-0.03,0,
E1,72.35,-29.3,-9.7,1,
E2,68.31,8.56,14.64,1,
E3,69.79,0.03,-0.58,1,
E4,93.39,-0.43,0.2,0,
F1,67.95,-45.59,38.03,1,
F2,71.66,7.99,13.28,1,
F3,84.22,-0.12,-0.53,1,
F4,95.88,-0.62,2.06,0,
